fep.txt		Chaudhury, 1984(21)	Contact angle	γs = 17.9 mJ/m2 (γsLW = 17.9, γsAB = 0.0,         Test liquids: water, alpha-bromonaphthalene, diiodomethane, | γs+ = 0.0, γs- = 0.0); 20oC                       formamide, and glycerin; acid-base analysis.
fep.txt		Li, 1992(176)	Contact angle	γc = 15.9 mJ/m2; 20oC                             Test liquids not known; from advancing contact angles by | equation of state method.
fep.txt		Kwok, 2000(166)	Contact angle	γc = 18.0 mJ/m2; no temp cited                    Re-calculated by equation of state method from data produced | by Kwok, 1995(167).
fep.txt		Kwok, 2000(166)	Contact angle	γc = 17.8 mJ/m2; no temp cited                    Re-calculated by alternate equation of state method from data | produced by Kwok, 1995(167).
fep.txt		Ebnesajjad, 2006(280)	Contact angle	γs = 16.9 mJ/m2 (γsd = 14.3, γsp = 2.6);          Test liquids: water, diiodomethane, and xylene; FEP-coated | no temp cited                                     wire, by geometric mean equation.
fep.txt		Ebnesajjad, 2006(280)	Contact angle	γs = 22.7 mJ/m2 (γsd = 17.3, γsp = 5.4);          Test liquids: water, diiodomethane, and xylene; FEP-coated | no temp cited                                     wire, by harmonic mean equation.
fep.txt		Andrews, 1973(51)	Unknown	γs = 20.0 mJ/m2 (γsd = 19.6, γsp = 0.4);          Test details unknown; probably by contact angle. | no temp cited
fep.txt		Wu, 1982(49)	Unknown	γs = 18.8 mJ/m2; 20oC                             Measurement method not cited; PE molded under nitrogen.
hexatriacontane.txt		Fox, 1952(11)	Critical ST	γc = 21 mJ/m2; no temp cited                      Test liquids not known.
hexatriacontane.txt		Fox, 1952(11)	Contact angle	θWY = 111o; 20oC                                  Crystal platelets grown in pure n-hexane and stored under N2 | until tested.
hexatriacontane.txt		Hellwig, 1968(164)	Contact angle	θWY = 105.3o; 25oC
hexatriacontane.txt		Clouet, 1994(114)	Contact angle	θWA = 109o; 23oC                                  Crystallized in distilled hexane and stored under argon until | tested.
hexatriacontane.txt		Shafrin, 1963(201)	Contact angle	γs = 19.1 mJ/m2 (γsd = 18.9, γsp = 0.2);          Test liquids not known. | no temp cited
hexatriacontane.txt		Hellwig, 1968(164)	Contact angle	γs = 19.5 mJ/m2; 25oC                             Test liquids not known.
hexatriacontane.txt		Kitazaki, 1972(191)	Contact angle	γs = 20.6 mJ/m2 (γsd = 20.6, γsp = 0.0);          Various test liquids; original results split polar component into | no temp cited                                     hydrogen- and non-hydrogen bonding parameters.
hexatriacontane.txt		Wu, 1979(45)	Contact angle	γs = 19.1 mJ/m2; 20oC                             Test liquids not known, by geometric mean equation.
hexatriacontane.txt		Wu, 1979(45)	Contact angle	γs = 23.6 mJ/m2; 20oC                             Test liquids not known, by harmonic mean equation.
hexatriacontane.txt		Wu, 1979(45)	Contact angle	γc = 23.0 mJ/m2; 20oC                             Test liquids not known; calculated by the equation of state | method.
hexatriacontane.txt		Spelt, 1996(177)	Contact angle	γc = 19.8 mJ/m2; 20oC                             Re-calculated by equation of state method from data produced | by Hellwig, 1968(164).
hexatriacontane.txt		Wang, 1997(260)	Contact angle	γs = 20.4 mJ/m2; no temp cited                    Test liquids not known.
hexatriacontane.txt		Della Volpe, 2000(163)	Contact angle	γs = 20.5 mJ/m2; no temp cited                    Re-calculated from data produced by Hellwig, 1968(164).
hexatriacontane.txt		Kwok, 2000(166)	Contact angle	γc = 19.6 mJ/m2; no temp cited                    Re-calculated by equation of state method from data produced | by Fox, 1952(11).
hexatriacontane.txt		Kwok, 2000(166)	Contact angle	γc = 20.3 mJ/m2; no temp cited                    Re-calculated by equation of state method from literature | data.
hexatriacontane.txt		Kwok, 2000(166)	Contact angle	γc = 19.7 mJ/m2; no temp cited                    Re-calculated by alternate equation of state method from | literature data.
hexatriacontane.txt		Wu, 1989(273)	From polymer melt	γs = 31.4 mJ/m2 (γsd = 31.4, γsp = 0.0); 20oC     Direct measurement of polymer melt extrapolated to 20oC. | M=507.
hexatriacontane.txt		Wu, 1979(45)	Calculated	γs = 31.4 mJ/m2; 20oC                             Calculated from liquid homologs.
kevlar_aramid.txt		Li, 1984(265)	Contact angle	θWA = 66.2o; no temp cited                      Kevlar fiber.
kevlar_aramid.txt		Carroll, 1976(216)	Contact angle	γs = 47 mJ/m2; no temp cited                    Test liquids not known. Kevlar fiber.
kevlar_aramid.txt		Li, 1984(265)	Contact angle	γs = 43.7 mJ/m2; no temp cited                  Test liquids: water and glycerol. Kevlar fiber.
kevlar_aramid.txt		Li, 1984(265)	Calculated	θWA = 61.2o; no temp cited                      Kevlar fiber; calculated by solidification front method.
kevlar_aramid.txt		Li, 1984(265)	Calculated	γs = 46.4 mJ/m2; no temp cited                  Kevlar fiber; calculated from solidification front method.
nafion.txt		Curtin, 2004(278)	Contact angle	θWA = 95o; 23oC, 50% RH                         Extruded NR112.
nafion.txt		Curtin, 2004(278)	Contact angle	θWA = 94o; 23oC, 50% RH                         Cast NR112.
nafion.txt		Curtin, 2004(278)	Contact angle	θWA = 85o; 23oC, 50% RH                         Extruded NR112, boiled before testing.
nafion.txt		Curtin, 2004(278)	Contact angle	θWA = 88o; 23oC, 50% RH                         Cast NR112, boiled before testing.
nitrocellulose.txt		Starov, 2007(281)	Contact angle	θWA = 67o, θWR = 46o, dθW = 21o;                  Nonporous nitrocellulose substrate. | no temp cited
nitrocellulose.txt		Starov, 2007(281)	Contact angle	θWA = 51o, θWR = 7o, dθW = 44o;                   Porous nitrocellulose membrane, average pore size 0.22 um. | no temp cited
nitrocellulose.txt		Starov, 2007(281)	Contact angle	θWA = 46o, θWR = 7o, dθW = 39o;                   Porous nitrocellulose membrane, average pore size 3.0 um. | no temp cited
nitrocellulose.txt		van Oss, 1987(1)	Contact angle	γs = 45.1 mJ/m2 (γsLW = 44.7, γ sAB = 0.4,        Test liquids not known; acid-base analysis, using advancing | γs+ = 0.003, γs- = 13.9); no temp cited           contact angle data
